psa_nr;aufstellort;bezirk_gebiet;abschnitt_von;abschnitt_bis;stellplaetze;roter_punkt;gebuehrenzeit;gebuehr_je_15_min_euro;hoechtsparkdauer_stunde;tagesgebuehr_euro;tarifzone;geokoordinate_nord;geokoordinate_ost
581;Venloer Str. 40;Belgisches Viertel;Spichernstraße;Venloer Wall;7;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;500005;50,9429225545568;6,93443910779119
582;Venloer Str. 47;Belgisches Viertel;Venloer Wall;Spichernstraße;10;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;500005;50,9427458113779;6,93444470195868
583;Spichernstr. 56;Belgisches Viertel;Gladbacher Straße;Erftstraße;11;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;500005;50,9459400650878;6,94106760996006
584;Spichernstr. 61;Belgisches Viertel;Gladbacher Straße;Gilbachstraße;37;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;500005;50,9451947017468;6,93968349262778
585;Herwarthstr. 24-26;Belgisches Viertel;Einm. Herwarthstr.;;40;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;500005;50,9440357235952;6,93825949563244
586;Spichernstr. 26;Belgisches Viertel;Gilbachstraße;Herwarthstraße;30;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;500005;50,9442880654695;6,93827037847357
587;Herwarthstr. 31;Belgisches Viertel;Einm. Herwarthstr.;;41;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;500005;50,9436311871768;6,93775165482867
588;Moltkestr. 77;Belgisches Viertel;Aachener Straße;Lütticher Straße;49;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;500005;50,937164964685;6,93265227288574
589;Moltkestr. 99;Belgisches Viertel;Lütticher Straße;Brüsseler Platz;104;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;500005;50,9381151882602;6,93259641663689
590;Kamekestr. 31;Belgisches Viertel;Bismarckstraße;Spichernstraße;38;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;500005;50,9429509884785;6,93763065660236
591;Spichernstr. 18;Belgisches Viertel;Herwarthstraße;Kamekestraße;19;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;500005;50,9432870240779;6,93682212400497
592;Spichernstr. 4;Belgisches Viertel;Kamekestraße;Venloer Straße;34;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;500005;50,9426170656579;6,93596174441561
593;Brüsseler Str. 89;Belgisches Viertel;Bismarckstraße;Venloer Straße;12;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;500005;50,9416224864717;6,93499725872714
594;Moltkestr. 131;Belgisches Viertel;Bismarckstraße;Brüsseler Platz;68;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;500005;50,9394509212612;6,93260182877707
595;Bismarckstr. 62;Belgisches Viertel;Antwerpener Straße;Brüsseler Straße;13;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;500005;50,9407831635618;6,93378196273097
596;Antwerpener Str. 31;Belgisches Viertel;Brüsseler Straße;Friesenplatz;29;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;500005;50,9402101182168;6,93562223248129
597;Antwerpener Str. 12;Belgisches Viertel;Friesenplatz;Brüsseler Str.;19;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;500005;50,9403528596288;6,93655671383526
598;Brabanter Str. 41;Belgisches Viertel;Antwerpener Straße;Maastrichter Straße;74;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;500005;50,9394422824767;6,93757519474969
599;Maastrichter Str. 19;Belgisches Viertel;Brüsseler Straße;Brabanter Straße;26;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;500005;50,9383449708549;6,93706197696218
600;Brüsseler Str. 59;Belgisches Viertel;Brüsseler Platz;Antwerpener Straße;46;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;500005;50,9394730943335;6,9346140282882
601;Antwerpener Str. 46;Belgisches Viertel;Bismarckstraße;Brüsseler Str.;31;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;500005;50,9402174609556;6,93396345897379
602;Aachener Str. 78;Belgisches Viertel;Moltkestr.;DB-Unterführung;11;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;500005;50,9366390190419;6,93191649605603
603;Aachener Str. 110;Belgisches Viertel;Schmalbeinstr.;Universitätsstr.;14;BELG;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,936779013371;6,9291910811805
604;Brüsseler Str. 53;Belgisches Viertel;Brüsseler Platz;Lütticher Straße;16;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;500005;50,9378545060698;6,93455793874753
605;Brüsseler Platz 5;Belgisches Viertel;Brüsseler Straße;Neue Maastrichter Str.;31;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;500005;50,9384785714167;6,93467182326502
606;Venloer Str. 15;Belgisches Viertel;Bismarckstraße;Friesenplatz;12;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;500005;50,9414029882573;6,93694922399522
607;Eupener Str. 42;Pauliviertel;Aachener Str.;Eschweiler Str.;17;PAULI;Mo-Sa 09:00 - 20:00;0,50 €;4;;500022;50,93940879378;6,88950116199759
608;Venloer Str. 63;Belgisches Viertel;Hans-Böckler-Platz;Peter-Dedenbach-Str.;7;BELG;Mo-Sa 09:00 - 18:00;1,00 €;4;;500001;50,9437540084106;6,93230354531642
609;Dürener Str. 54;Lindenthal Süd I;Universitätsstr.;Herbert-Lewin-Str.;14;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9332443028847;6,92348253028081
610;Dürener Str. 87;Lindenthal Süd I;Herbert-Lewin-Str.;Classen-Koppelmann-Str.;10;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,932573725386;6,92154582654679
611;Dürener Str. 121;Lindenthal Süd I;Classen-Kappelmann-Str.;Karl-Schwering-Platz;13;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9318796114169;6,91944096513586
612;Dürener Str. 171;Lindenthal Süd II;Geibelstr.;Klosterstr.;13;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9305816356385;6,91569398272348
613;Dürener Str. 199;Lindenthal Süd II;Klosterstr.;Theresienstr.;9;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9299402908106;6,91408678711666
614;Dürener Str. 223;Lindenthal Süd II;Theresienstr.;Hillerstr.;11;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9292016846931;6,91223221852505
615;Dürener Str. 243;Lindenthal Süd II;Hillerstr.;Landgrafenstr.;6;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9287064982436;6,91098346900292
616;Dürener Str. 240;Lindenthal Süd II;Lindenthalgürtel;Landgrafenstr.;10;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9281902607804;6,90999223342497
617;Dürener Str. 224;Lindenthal Süd II;Landgrafenstr.;Wittgensteinstr.;14;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,928766116827;6,91146084045096
618;Dürener Str. 206;Lindenthal Süd II;Wittgensteinstr.;Theresienstr.;9;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9292278103853;6,91259425556183
619;Dürener Str. 196;Lindenthal Süd II;Theresienstr.;Schumannstr.;12;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,929599471103;6,91360517658944
620;Dürener Str. 182;Lindenthal Süd II;Schumannstr.;Lindenburger Allee;11;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9299467305694;6,91445428167927
621;Dürener Str. 154;Lindenthal Süd II;Lindenburger Allee;Geibelstr.;10;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9305551052582;6,91598440351373
622;Dürener Str. 132;Lindenthal Süd I;Geibelstr.;Hans-Sachs-Str.;14;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9310079564798;6,91723869391182
623;Dürener Str. 76;Lindenthal Süd I;Classen-Kappelmann-Str.;Universitätsstr.;17;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9324489500373;6,92172077346169
624;Dürener Str. 56;Lindenthal Süd I;Classen-Kappelmann-Str.;Universitätsstr.;17;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9330210674008;6,92333419701539
625;Lindenthalgürtel 99;Lindenthal Süd II;Dürener Str.;Uhlandstr.;7;;Mo-Fr 09:00 - 18:00 + Sa 09:00 - 14:00;0,50 €;4;;500012;50,927160810165;6,90918260329663
626;Lindenthalgürtel 81;Lindenthal Süd II;Uhlandstr.;Bachemer Str.;8;;Mo-Fr 09:00 - 18:00 + Sa 09:00 - 14:00;0,50 €;4;;500012;50,9265164812321;6,90973752220465
627;Lindenthalgürtel 96;Lindenthal Süd II;Bachemer Str.;Uhlandstr.;6;;Mo-Fr 09:00 - 18:00 + Sa 09:00 - 14:00;0,50 €;4;;500012;50,9266154980642;6,90999327687541
628;Dürener Str. 104;Lindenthal Süd I;Hans-Sachs-Str.;Classen-Kappelmann-Str.;23;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,931843282216;6,91972393442069
629;freie Nummer (ehemals Mariengartengasse 3);City/Martinsviertel;An der Rechtschule;Burgmauer;8;CITY;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9409134169625;6,95349551461506
630;Kleine Spitzengasse 1;Georgsviertel;Severinstr.;Tel-Aviv-Str.;7;GEO;Mo-Sa 09:00 - 18:00;1,00 €;4;;500001;50,9298433393152;6,95642893506208
631;Appellhofplatz 2 WDR;Nördlich Neumarkt;Röhrergasse;Burgmauer;20;;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;;
632;Magnusstr. ggü. 13;Gereonsviertel;Albertusstr.;Römergasse;9;;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9399800314844;6,94368213035779
633;Alteburger Str. 266;Bayenthal II;Tacitusstr.;Klerschweg;9;BAY II;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,9383438;6,9568576
634;Appellhofplatz 9;Nördlich Neumarkt;Haus Nr. 5;Neven-DuMont-Str.;6;NEU;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9403320134375;6,95081995934391
635;Kitschburger Str. 242;Hültzviertel;Schinkelstr.;Aachener Str.;8;HV;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,9366240153458;6,90072239790047
636;Bonner Straße 89;Südliche Neustadt II;Kyllstraße;Alteburger Wall;4;;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9159563409641;6,96124054531285
637;Oskar-Jäger-Str. 1;Lindenthal;Aachener Str.;Melatengürtel;12;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,937358816506;6,91257029925759
638;Maarweg 12 - 16;Lindenthal;Aachener Str.;Scheidtweilerstr.;10;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,9379337321349;6,90013806417976
639;Kitschburger Str. 241;Hültzviertel;Aachener Str.;Christian-Gau-Str.;18;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,9364401423211;6,90045813872602
640;Marzellenstr. 49;Gereonsviertel;Ursulaplatz;An den Dominikanern;8;GER;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9444248188479;6,95594952357553
641;Dürener Str. 155;Lindenthal Süd II;Karl-Schwering-Platz;Geibelstr.;7;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,93116466397;6,91728874718062
642;Christophstr. 39;Gereonsviertel;Kaiser-Wilhelm-Ring;Von-Werth-Str.;10;;Mo-Sa 09:00 - 18:00;1,00 €;4;;500001;50,9443676191331;6,94305137974667
643;Christophstr. 40;Gereonsviertel;Probsteigasse;Von-Werth-Str.;10;GER;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9440998502062;6,94421346149766
644;Gereonstr. ggü 54;Gereonsviertel;Gereonskloster;Gereonsdriesch;16;GER;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9435039455453;6,94638243669654
645;Sülzgürtel ggü. 65 (Mittelinsel);Sülz-Nord II;Zülpicher Str.;Euskirchener Str.;30;Sülz-N II;Mo-Fr 09:00 - 18:00 + Sa 09:00 - 13:00;0,50 €;9;Ja;500119;;
646;Humboldtstr. 30;Griechenmarktviertel;Jahnstr.;Arndtstr.;9;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9326014792173;6,94264651534388
647;Von-Werth-Str.14a;Gereonsviertel;Gereonshof;Christophstr.;8;GER;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9439472918272;6,94354530863789
648;Eupener Str. 62;Pauliviertel;Eschweiler Str.;Stolberger Str.;13;PAULI;Mo-Sa 09:00 - 20:00;0,50 €;11;Ja;500117;50,9405697751177;6,88941648712667
649;Oststr. 7;Rodenkirchen;Hauptstr.;Barbarastr.;8;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,8927939006894;6,99639415446035
650;Steinstr. 1;Pantaleonsviertel;Heinrichstr.;Schnurgasse;9;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9272169881103;6,9523043528733
651;Martinsfeld 46;Pantaleonsviertel;Am Trutzenberg;Waisenhausgasse;10;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9288879209979;6,95006435061157
652;Kämmergasse 1;Griechenmarktviertel;Agrippastr.;Gr. Griechenmarkt;9;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9328515893632;6,95254382092251
653;Athener Ring 4;Chorweiler;Salzburger Hof;Innsbrucker Hof;9;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;51,0206823929795;6,89482383793133
654;Niehler Str. 310;Nippes;Friedrich-Karl-Str.;Nesselrodestr.;20;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,9755541653557;6,96011261344005
655;Merheimer Str. 71;Nippes;Hartwichstr.;Cranachstr.;10;NIPPES + II;Mo-Fr 09:00 - 21:00 + Sa 10:00 - 15:00;0,50 €;12;Ja;500113;50,9600118216094;6,9491380976666
656;Wilhelmstr. 43;Nippes;Neusser Str.;Christinastr.;13;NIPPES;Mo-Fr 08:00 - 21:00 + Sa 08:00 - 15:00;0,50 €;4;;500014;50,9628459678696;6,95343302848547
657;Viersener Str. 2;Nippes;Christinastr.;Neusser Str.;9;NIPPES;Mo-Fr 08:00 - 21:00 + Sa 08:00 - 15:00;0,50 €;4;;500014;50,9636354287067;6,95320560424012
658;Cäcilienkloster 2;Griechenmarktviertel;Cäcilienstr.;Jabachstr.;14;;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9349545546467;6,951892259788
659;Kämmergasse 14;Griechenmarktviertel;Gr. Griechenmarkt;Agrippastr.;9;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9328256838764;6,95273356232621
660;Samariterstr. 1;Bayenthal I;Bernhardstr.;Goltsteinstr.;11;BAY I;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;;
661;Alteburger Str. 343;Bayenthal II;Bayenthalgürtel;Klerschweg;12;BAY II;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;;
662;Peterstr. 23;Griechenmarktviertel;Leonhard-Tietz-Str.;Agrippastr.;11;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,933573172789;6,94957752612974
663;Schaafenstr. 25;Griechenmarktviertel;Balduinstr.;Am Rinkenpfuhl;15;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9349381760128;6,94215848107194
664;Schaevenstr. 7;Griechenmarktviertel;Hohenstaufenring;Mauritiuswall;13;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9331250446946;6,94044756050183
665;Keupstr.;Mülheim;Heidkampstr.;Markgrafenstr.;22;KEUP;Mo-Sa 09:00 - 23:00;0,50 €;4;;500029;50,9665025334522;7,00761492438665
666;Paulstr. 9;Pantaleonsviertel;Ulrichgasse;Schurgasse;10;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9268147001908;6,9544333152385
667;Im Sionstal 18;Severinsviertel;Mechtildisstr.;Severinsbrücke;26;SEV;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9290946260725;6,96032754592133
668;Clemensstr. 3;Griechenmarktviertel;Bobstr.;Spinnmühlengasse;30;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9339193897663;6,94571726256416
669;Friedrichstr. 56;Griechenmarktviertel;Mauritiuswall;Hohenstaufenring;31;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9306217516243;6,94189290295933
670;Peterstr. 21;Griechenmarktviertel;Agrippastr.;Leonhard-Tietz-Str.;34;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9335763184013;6,94980930747175
671;Poststr. 4;Griechenmarktviertel;Alte Mauer am Bach;Gr. Griechenmarkt;29;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9312953929463;6,95018335375677
672;Poststr. 43;Griechenmarktviertel;Gr. Griechenmarkt;Agrippastr.;35;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9322914475495;6,95000969160071
673;Volksgartenstr. ggü. 68;Südliche Neustadt I;Eifelplatz;Vorgebirgsstr.;32;SÜD I;Mo-Sa 09:00 - 23:00;0,50 €;14;Ja;500110;50,9234431581453;6,94506233766352
674;Volksgartenstr. ggü. 56;Südliche Neustadt I;Eifelplatz;Vorgebirgsstr.;24;SÜD I;Mo-Sa 09:00 - 23:00;0,50 €;14;Ja;500110;50,9229091244417;6,9463177565414
675;Volksgartenstr. ggü. 50;Südliche Neustadt I;Eifelplatz;Vorgebirgsstr.;28;;Mo-Sa 09:00 - 23:00;0,50 €;14;Ja;500110;50,9224429752971;6,94740639704733
676;Volksgartenstr. ggü. 46;Südliche Neustadt I;Eifelplatz;Vorgebirgsstr.;24;;Mo-Sa 09:00 - 23:00;0,50 €;14;Ja;500110;50,9219792876764;6,94850067144356
677;Volksgartenstr. ggü 38 (LM 19);Südliche Neustadt I;Eifelplatz;Vorgebirgsstr.;34;;Mo-Sa 09:00 - 23:00;0,50 €;14;Ja;500110;50,921314335014;6,95005246631815
678;Bayenstr. 67;Severinsviertel;Seyengasse;Rosenstr.;5;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9278781804264;6,96279577007921
679;Merheimer Straße 225;Nippes;Mauenheimer Straße;Simon-Meister-Straße;22;NIPPES I;Mo-Fr 09:00 - 21:00 + Sa 10:00 - 15:00;0,50 €;12;Ja;500113;50,9674570711497;6,94709645379108
680;Ubierring 43;Severinsviertel;Am Bayenturm;An der Bottmühle;18;SEV + SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9221758672894;6,96429968926661
681;Ubierring 25;Severinsviertel;An der Bottmühle;Alteburger Str.;7;SEV + SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9217156797293;6,96245217133898
682;Ubierring 9;Severinsviertel;Alteburger Str.;Chlodwigplatz;10;SEV + SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9214682301937;6,96103815013411
683;Venloer Wall 19;Belgisches Viertel;Subbelrather Str.;Franz-Hitze-Str.;34;BELG;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9464797597727;6,93562306449422
684;Venloer Wall 17;Belgisches Viertel;Subbelrather Str.;Franz-Hitze-Str.;33;BELG;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9456464755404;6,93495810146313
685;Venloer Wall 15;Belgisches Viertel;Subbelrather Str.;Franz-Hitze-Str.;34;BELG;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9449233142497;6,93443407983131
686;Blaubach ggü. 11;Griechenmarktviertel;Bachemstr.;Perlengraben;21;;Mo-Sa 09:00 - 23:00;0,50 €;14;Ja;500110;50,9311593200946;6,95264323757708
687;Leonhard-Tietz-Str. 3;Griechenmarktviertel;Peterstr.;Jabachstr.;16;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9339723410273;6,95028986508205
688;Leonhard-Tietz-Str. 8a;Griechenmarktviertel;Jabachstr.;Fleischmengergasse;8;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9340774972682;6,95147400781964
689;Schmalbeinstr. 5;Belgisches Viertel;Vogelsanger Str.;Aachener Str.;35;BELG;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9372548495744;6,93032858540052
690;Schmalbeinstr. 32;Belgisches Viertel;Vogelsanger Str.;Aachener Str.;37;BELG;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9400982003858;6,93056108649262
691;Schmalbeinstr. 26 (Gartennr. 29-32);Belgisches Viertel;Vogelsanger Str.;Aachener Str.;35;BELG;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9391278238645;6,93025996825161
692;Schmalbeinstr. 8 (Gartennr. 15-16);Belgisches Viertel;Vogelsanger Str.;Aachener Str.;38;BELG;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9380518343602;6,93022384150486
693;Merheimer Straße 217;Nippes;Mauenheimer Straße;Simon-Meister-Straße;19;NIPPES I;Mo-Fr 09:00 - 21:00 + Sa 10:00 - 15:00;0,50 €;12;Ja;500113;50,9668355572472;6,9473226016884
694;Alteburger Str. 379;Bayenthal II;Bayenthalgürtel;Klerschweg;12;BAY II;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;;
695;Severinswall 14;Severinsviertel;Severinstr.;Altburger Str.;9;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9222609755667;6,96068425633484
696;Johannisstr. ggü. 76 - 80;Kunibertsviertel;Jakordenstr.;Brandenburger Str.;42;KUN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,945334830618;6,96072927620368
697;Johannisstr. 64;Kunibertsviertel;Goldgasse;Servasgasse;9;KUN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9442701447493;6,96069721614314
698;Johannisstr. 73;Kunibertsviertel;Machabäerstr.;Jakordenstr.;18;KUN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9456707707263;6,9611929674936
699;Venloer Str. 210;Ehrenfeld;Franz-Geuer-Str.;Leostr.;5;;Mo-Sa 09:00 - 21:00;0,50 €;2;;500015;50,9465125317716;6,92482059831037
700;Venloer Str. 219;Ehrenfeld;Leostr.;Piusstr.;8;;Mo-Sa 09:00 - 21:00;0,50 €;2;;500015;50,9463759682376;6,92478524630281
701;Venloer Str. 224;Ehrenfeld;Leostr.;Gutenbergstr.;11;;Mo-Sa 09:00 - 21:00;0,50 €;2;;500015;50,9469424670596;6,92379971599769
702;Venloer Str. 240;Ehrenfeld;Gutenbergstr.;Simrockstr.;7;;Mo-Sa 09:00 - 21:00;0,50 €;2;;500015;50,9472978267043;6,92294930881764
703;Venloer Str. 260;Ehrenfeld;Simrockstr.;Körnerstr.;7;;Mo-Sa 09:00 - 21:00;0,50 €;2;;500015;50,9476765925916;6,92204416351694
704;Venloer Str. 273;Ehrenfeld;Thebäerstr.;Geisselstr.;9;;Mo-Sa 09:00 - 21:00;0,50 €;2;;500015;50,9476658977865;6,92172699478088
705;Venloer Str. 310;Ehrenfeld;Philippstr.;Hansemannstr.;16;;Mo-Sa 09:00 - 21:00;0,50 €;2;;500015;50,9491767841238;6,91848766691154
706;Venloer Str. 349;Ehrenfeld;Keplerstr.;Sömmeringstr.;8;;Mo-Sa 09:00 - 21:00;0,50 €;2;;500015;50,9492585328741;6,91804031806634
707;Venloer Str. 336;Ehrenfeld;Hansemannstr.;Ehrenfeldgürtel;5;;Mo-Sa 09:00 - 21:00;0,50 €;2;;500015;50,9497267497867;6,91758929025062
708;Venloer Str. 363;Ehrenfeld;Sömmeringstr.;Ehrenfeldgürtel;6;;Mo-Sa 09:00 - 21:00;0,50 €;2;;500015;50,949682571987;6,91737408992435
709;Venloer Str. 387;Ehrenfeld;Ehrenfeldgürtel;Heliosstr.;4;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,9508402386526;6,91557985784097
710;Venloer Str. 403;Ehrenfeld;Platenstr.;Schönsteinstr.;15;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,9518482216385;6,91401677580453
711;Venloer Str. 382;Ehrenfeld;Schönsteinstr.;Platenstr.;13;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,9521225663113;6,91388815018555
712;Venloer Str. 425;Ehrenfeld;Herbrandstr.;Platenstr.;7;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,9525178348661;6,91297939606322
713;Venloer Str. 406;Ehrenfeld;Platenstr.;Lessingstr.;10;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,9526998689991;6,91299653058422
714;Venloer Str. 461;Ehrenfeld;Gumprechtstr.;Leyendeckerstr.;12;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,954736479733;6,90888633411707
715;Venloer Str. 508;Ehrenfeld;Leyendeckerstr.;Alpener Str.;9;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,9553773403636;6,90734561506265
716;Venloer Str. 519;Ehrenfeld;Gumprechtstr.;Leyendeckerstr.;13;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,9554084430608;6,90678759847729
717;Venloer Str. 177;Ehrenfeld;Fuchsstr.;Innere Kanalstr.;10;;Mo-Sa 09:00 - 21:00;0,50 €;2;;500015;50,9451433402589;6,92778672982199
718;Venloer Str. 193a;Ehrenfeld;Piusstr.;Innere Kanalstr.;5;;Mo-Sa 09:00 - 21:00;0,50 €;2;;500015;50,9457352827335;6,92634521578027
719;Turiner Str.;Kunibertsviertel;Dagobertstraße;Thürmchenswall;4;;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9488835562789;6,95850619204152
720;Venloer Str. 437;Ehrenfeld;Leyendeckerstr.;Lessingstr.;12;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,9537885430997;6,91101740302351
721;Venloer Str. 429;Ehrenfeld;Leyendeckerstr.;Lessingstr.;13;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,9531417270639;6,91201653961324
722;Venloer Str. 430;Ehrenfeld;Lessingstr.;Leyendeckerstr.;10;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,953406731468;6,91190864024639
723;Venloer Str. 444;Ehrenfeld;Lessingstr.;Leyendeckerstr.;11;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,9538432799068;6,91123403093354
724;Im Ferkulum 29a;Severinsviertel;Dreikönigenstr.;Corneliusstr.;6;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9240074157906;6,96013491928211
725;Ludolf-Camphausen-Str. 31;Belgisches Viertel;Venloer Straße;Vogelsanger Str.;35;BELG;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9422740231875;6,93212743865589
726;Ludolf-Camphausen-Str. 20;Belgisches Viertel;Venloer Straße;Vogelsanger Str.;45;BELG;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,941515458;6,93159063989265
727;St.-Apern-Str. 48-50;Nördlich Neumarkt;Helenenstr.;Magnusstr.;9;NEU;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9403239934301;6,94622040780929
728;Neven-du-Mont-Str. 14;Nördlich Neumarkt;Kupfergasse;Appellhofplatz;9;NEU;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9402357689759;6,95056721250978
